Entity,Code,Year,Primary energy consumption per capita (kWh/person)
Algeria,DZA,2021,15343.7002
Argentina,ARG,2021,20905.5
Australia,AUS,2021,61613.01563
Austria,AUT,2021,45544.8125
Azerbaijan,AZE,2021,17924.33594
Bangladesh,BGD,2021,2762.144043
Belarus,BLR,2021,32531.27539
Belgium,BEL,2021,65099.32031
Brazil,BRA,2021,16311.00098
Bulgaria,BGR,2021,31553.80273
Canada,CAN,2021,101690.7813
Chile,CHL,2021,24056.12305
China,CHN,2021,30321.56641
Colombia,COL,2021,10422.32031
Croatia,HRV,2021,24352.92188
Cyprus,CYP,2021,24513.94336
Czechia,CZE,2021,43453.44531
Denmark,DNK,2021,32089.24805
Ecuador,ECU,2021,11836.15332
Egypt,EGY,2021,10108.57129
Estonia,EST,2021,49713.01563
Finland,FIN,2021,58010.87109
France,FRA,2021,39934.95703
Germany,DEU,2021,41854.19922
Greece,GRC,2021,28207.71484
Hong Kong,HKG,2021,32206.09375
Hungary,HUN,2021,29290.81055
Iceland,ISL,2021,170040.875
India,IND,2021,7062.688477
Indonesia,IDN,2021,8352.31543
Iran,IRN,2021,39824.07813
Iraq,IRQ,2021,14321.46191
Ireland,IRL,2021,34962.80469
Israel,ISR,2021,33227.67969
Italy,ITA,2021,29243.16602
Japan,JPN,2021,39094.19141
Kazakhstan,KAZ,2021,41672.58203
Kuwait,KWT,2021,111590.7188
Latvia,LVA,2021,22610.0625
Lithuania,LTU,2021,26093.24023
Luxembourg,LUX,2021,66298.58594
Malaysia,MYS,2021,35517.77734
Mexico,MEX,2021,14477.20703
Morocco,MAR,2021,7106.835938
Netherlands,NLD,2021,56201.35156
New Zealand,NZL,2021,48085.92188
North America,USA,2021,53993.95313
North Macedonia,MKD,2021,13950.67383
Norway,NOR,2021,103943.8438
Oman,OMN,2021,79730.52344
Pakistan,PAK,2021,4757.149414
Peru,PER,2021,9989.323242
Philippines,PHL,2021,4907.030273
Poland,POL,2021,32645.29102
Portugal,PRT,2021,26130.67383
Qatar,QAT,2021,182673.9531
Romania,ROU,2021,20379.30273
Russia,RUS,2021,59581.26953
Saudi Arabia,SAU,2021,85078.32031
Singapore,SGP,2021,162836.7188
Slovakia,SVK,2021,36109.07031
Slovenia,SVN,2021,36075.49219
South Africa,ZAF,2021,23032.16797
South Korea,KOR,2021,68086.71094
Spain,ESP,2021,33227.58594
Sri Lanka,LKA,2021,4940.651855
Sweden,SWE,2021,62441.25391
Switzerland,CHE,2021,34227.11719
Taiwan,TWN,2021,57965.73047
Thailand,THA,2021,20290.66406
Trinidad and Tobago,TTO,2021,121645.5078
Turkey,TUR,2021,22300.08984
Turkmenistan,TKM,2021,72869.65625
Ukraine,UKR,2021,21310.8418
United Arab Emirates,ARE,2021,125902.0625
United Kingdom,GBR,2021,29238.5625
United States,USA,2021,77573.71875
Uzbekistan,UZB,2021,16112.78906
Venezuela,VEN,2021,19659.14844
Vietnam,VNM,2021,12223.25293
